,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy,Cropped_Contrast,Cropped_Entropy,Cropped_Sum_Entropy,Cropped_Difference_Entropy,Sabattier_Contrast,Sabattier_Entropy,Sabattier_Sum_Entropy,Sabattier_Difference_Entropy,Blurred1_Contrast,Blurred1_Entropy,Blurred1_Sum_Entropy,Blurred1_Difference_Entropy,Blurred2_Contrast,Blurred2_Entropy,Blurred2_Sum_Entropy,Blurred2_Difference_Entropy,Pixelated_Contrast,Pixelated_Entropy,Pixelated_Sum_Entropy,Pixelated_Difference_Entropy,Sharpened_Contrast,Sharpened_Entropy,Sharpened_Sum_Entropy,Sharpened_Difference_Entropy
0,Acorns 1,Object,4.68627450980392,0.954202711685196,2.34653465346535,1.60272045949602,789.1388954971337,14.298355260001962,8.869040747739298,5.7204148758539874,453.9749408429813,11.153823785597073,7.880284330497098,5.169712880289946,1461.569361499942,13.181602184413215,8.521669236638505,6.132473086702043,28.05973182141225,11.938440715007555,8.76710151513892,3.43092890280197,9.010328622784417,11.03321491973162,8.654473860370622,2.722556633185948,135.5647283187929,13.193371972766268,8.857863218341565,4.523742513986115,2326.382787663043,14.968643743878427,8.909510523342357,6.524340834133949
1,Acorns 2,Object,4.51960784313725,0.841149521760358,2.22772277227723,1.39915108632922,136.13263600258153,10.973450623713006,8.232745376264692,3.613105824347533,595.4180670967154,11.21116581688435,8.18660370075215,5.343334394355335,245.84921519668407,10.299529829195087,7.984225878582145,3.934929026823716,12.331854265548639,9.61309068210059,8.135985121010538,2.4347672918821104,6.895685019161128,9.443285330315339,8.171771837353365,2.290885270042213,29.111079362358772,10.240302913742223,8.151426893020096,2.8907733541829885,455.18489260538576,11.97094944949469,8.204739728579531,4.494065052703786
2,Acorns 3,Object,4.75490196078431,0.958921367116694,2.30693069306931,1.51487672275618,349.7230093175071,12.89079641274462,8.443754605604443,4.981426126865476,525.697102675693,11.502740369792683,8.380782628367257,5.359381864760573,620.4808784523933,12.31057354226667,8.559615389987192,5.32098301292189,20.127348542950564,10.803374321583002,8.590062801532305,3.1440199452186457,9.635314119467003,10.281399967560125,8.605774320285523,2.7588978012686067,64.68732422300738,11.776013642551288,8.473694953873771,3.8511722856173236,1180.862799167256,13.834815479013272,8.426723566569837,5.954421063046896
3,Alcohol 1,Object,4.68518518518519,1.18911062459953,2.86538461538462,1.69555496718665,176.8470518279666,11.548067121457539,8.518490677939067,3.634410916460207,71.42024335901887,8.65519865411908,6.723027455244573,3.0071071629609003,316.2502792508575,10.652219158683323,8.183139400963098,4.052836597139983,27.318504495833754,10.971788524506316,8.568608953792301,3.075248907536966,11.812245182093509,10.751681009870122,8.663815792855086,2.7663878137450357,68.71534592995508,11.38639305814339,8.542496054981171,3.410718791172772,375.89564078219064,12.272795721434477,8.530617340746891,4.254993398928226
4,Alcohol 2,Object,4.25,1.13668644522857,3.0,1.70094205765368,461.2870789279056,13.727562124640528,8.860447726806365,5.08692570228215,1327.4256671508315,10.792486049440878,7.950224812533309,6.072604102837979,844.7474055102687,12.592988497894668,8.472194213063412,5.531183476427389,39.01761479224113,12.207080231710076,8.673318931525753,3.7082481762855233,11.039015162530578,11.11732091023265,8.462508251087133,2.8763411491540123,126.82323821829112,13.121137915091783,8.826262119050531,4.460425173774549,1129.2298440201198,14.336185812965073,8.896150188981547,5.710257423990156
5,Alcohol 3,Object,4.16666666666667,0.952125021241836,2.34615384615385,1.3848643042371,128.88076524728643,3.312928416647331,2.6232966087957115,1.5293458707989165,241.98671480516566,4.204686567305812,3.5206429093654057,2.121028494259031,259.30435078050834,3.3002417585770116,2.6697808381401593,1.6198310233028697,25.90988393579137,4.002588533672913,3.353629819532334,1.7320532770407862,13.952362744285567,4.771244965819818,4.006132578037647,1.7215722231447712,51.174859524813975,3.5294549828823016,2.807890247727753,1.5644128017396834,218.05640612804547,3.421067257056804,2.6754340764435787,1.5898439717254882
6,Alcohol 4,Object,4.76851851851852,1.17295442527236,2.86538461538462,1.64911092438503,259.98673662362296,12.875683467534675,8.632990822563174,4.569727997743566,501.6446134981738,12.319853419741989,8.412040542353788,4.987003948362849,440.53506215312825,11.88932810235104,8.317405926017962,5.008780559052954,20.608159975966974,11.344152902777513,8.621362940634278,3.2434803930372773,8.029515254192594,10.543272836052886,8.619511685616152,2.6630445216165466,63.22396301688588,12.233898133137318,8.617899784359803,3.921284552791846,670.6838417995134,13.631933176987292,8.650439397736553,5.2626322856562675
7,Alcohol 5,Object,5.33333333333333,1.1286839206524,3.55445544554455,1.60296754505356,266.88685885367204,11.467857292925316,8.253230958698222,4.006073037039755,858.319913273522,12.748112046919049,8.674272381399149,5.654091646072934,507.20402160021786,10.85179304449396,8.043349982451238,4.551732716289808,17.721623336271538,10.419898340350311,8.177371359788328,2.9407173211438353,7.688313736495546,9.895414671971949,8.125972894084397,2.4960014483568513,60.806450311023,11.059020743111386,8.242362516037991,3.5388389470429917,703.9601666968018,12.001694975587084,8.265552809173878,4.54035563329718
8,Alcohol 6,Object,4.53703703703704,1.04502314892686,2.64423076923077,1.63052358754159,533.252157730875,13.081818257303443,8.672947764651894,4.763433547579577,966.411499416293,11.846215519340824,8.270816169327265,5.341962610350131,797.3054776024478,12.14627937514366,8.339142719487429,5.300540783896946,36.15645661749563,11.527682004824987,8.736712441203737,3.383426776515086,15.252484340862178,11.087052523872437,8.751499656723588,2.972250158918196,109.19423667761572,12.387307753065564,8.727691805390641,4.011029264425044,1321.060419076247,13.979507134902095,8.720121097348683,5.657650589681731
9,Alcohol 7,Object,4.47524752475248,1.15407156975588,3.12621359223301,1.65493683103477,303.28464654057467,12.458599202998476,8.51208189902842,4.376273281848345,763.020178875989,7.041378908918032,5.35262041002516,3.830576580818943,621.6479148208698,11.895579724641014,8.551161717243334,4.976905689651597,43.314129959166465,11.773900405660909,8.520611944631117,3.6805372535179153,16.66612115333424,10.709213182369052,8.70000708222592,3.13375941097096,114.60308099783519,12.304146542297206,8.5262369109578,4.158504444960052,574.9189191610035,12.81653452265614,8.551440936314654,4.6950358169197255
