,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
0,Acorns 1,Object,4.68627450980392,0.954202711685196,2.34653465346535,1.60272045949602,789.1388954971337,14.298355260001962,8.869040747739298,5.7204148758539874
1,Acorns 2,Object,4.51960784313725,0.841149521760358,2.22772277227723,1.39915108632922,136.13263600258153,10.973450623713006,8.232745376264692,3.613105824347533
2,Acorns 3,Object,4.75490196078431,0.958921367116694,2.30693069306931,1.51487672275618,349.7230093175071,12.89079641274462,8.443754605604443,4.981426126865476
3,Alcohol 1,Object,4.68518518518519,1.18911062459953,2.86538461538462,1.69555496718665,176.8470518279666,11.548067121457539,8.518490677939067,3.634410916460207
4,Alcohol 2,Object,4.25,1.13668644522857,3.0,1.70094205765368,461.2870789279056,13.727562124640528,8.860447726806365,5.08692570228215
5,Alcohol 3,Object,4.16666666666667,0.952125021241836,2.34615384615385,1.3848643042371,128.88076524728643,3.312928416647331,2.6232966087957115,1.5293458707989165
6,Alcohol 4,Object,4.76851851851852,1.17295442527236,2.86538461538462,1.64911092438503,259.98673662362296,12.875683467534675,8.632990822563174,4.569727997743566
7,Alcohol 5,Object,5.33333333333333,1.1286839206524,3.55445544554455,1.60296754505356,266.88685885367204,11.467857292925316,8.253230958698222,4.006073037039755
8,Alcohol 6,Object,4.53703703703704,1.04502314892686,2.64423076923077,1.63052358754159,533.252157730875,13.081818257303443,8.672947764651894,4.763433547579577
9,Alcohol 7,Object,4.47524752475248,1.15407156975588,3.12621359223301,1.65493683103477,303.28464654057467,12.458599202998476,8.51208189902842,4.376273281848345
10,Alcohol 8,Object,5.47524752475248,1.1008547534161,3.79611650485437,1.76212451598148,234.18918959723942,11.128240717069742,8.413135924088682,3.3962808899574535
11,Ambulance 1,Object,2.33333333333333,1.06779535299975,4.16346153846154,1.80673269939137,3019.990147884111,14.029447047538866,8.678558238955276,6.332734595583723
12,Ambulance 2,Object,3.17821782178218,1.07141065520145,3.41176470588235,1.72548137164401,517.027111464156,12.938905711426075,8.560313040757087,4.744432723900363
13,Ambulance 3,Object,3.28712871287129,1.09851384755374,3.61165048543689,1.78354686118803,683.8695176537279,13.395358619579643,8.479304571210651,5.160490111293426
14,Angry face 1,Person,3.38235294117647,0.954863710632231,3.25742574257426,1.48090151830927,165.76992431165576,11.555972132258933,8.185735654333211,4.114149153899556
15,Angry face 2,Person,3.07843137254902,1.04062314261533,3.53465346534653,1.68264289993833,89.56197711149107,11.707226025355434,8.169281736219155,3.884035068805357
16,Angry face 3,Person,2.5,1.06007658979794,3.66336633663366,1.79040346136156,80.22423669582271,11.651081649640076,8.5358768134885,3.882050183102691
17,Angry face 4,Person,2.49019607843137,1.14100093316764,3.87128712871287,1.85829688874859,1697.7453243466873,14.61151140344282,8.881985695661193,6.224559991451374
18,Angry face 5,Person,2.85294117647059,1.02828376504544,3.55445544554455,1.75769876557249,84.69064381959402,8.352323747754838,6.24167723061195,3.195308197689946
19,Angry pose 1,Person,2.81481481481481,1.04253598201557,3.61538461538462,1.79160768670543,293.1904588990009,11.898892683519431,8.258088598034904,4.277625583152045
20,Angry pose 2,Person,2.80555555555556,0.999610516051438,3.72115384615385,1.7706163194941,180.32025957554188,4.427391866679937,3.297977702392118,2.150212269172247
21,Animal carcass 1,Animal,2.72222222222222,1.2367679716003,3.76923076923077,2.0537948263999,842.4887281988783,13.890034427876646,8.392670728202404,5.844906827555353
22,Animal carcass 2,Animal,3.25490196078431,1.39792119007456,4.02970297029703,1.68793036316404,458.511815229456,13.489019448261171,8.84149705091472,5.100879161568096
23,Animal carcass 3,Animal,2.75,1.36117733536735,4.42307692307692,2.02744426469696,127.10091994829259,11.656549412334073,7.945739976855234,4.447163522103841
24,Animal carcass 4,Animal,3.79411764705882,1.3667786460178,4.1980198019802,1.61876373804331,229.3866624489579,11.761274569394521,7.957340029953016,4.5144139021942005
25,Animal carcass 5,Animal,1.61764705882353,1.04402228312643,4.47524752475248,2.27417703535121,741.9349836609304,13.817508936488718,8.296933877233531,5.768215969616001
26,Animal carcass 6,Animal,2.39814814814815,1.47210710966729,4.72115384615385,2.17423898423508,333.3780980155798,12.541393241817428,8.464627676728208,4.8737597967551105
27,Archery 1,Person,4.29411764705882,1.27883173243532,3.75247524752475,1.54535394388509,114.50098728974228,11.679510750327026,8.567652761659806,3.495953576966437
28,Archery 2,Person,4.81372549019608,0.972191483368331,3.45544554455446,1.62803410575607,156.273623164876,11.464260198420222,8.211413150380281,3.6588234804778583
29,Astronaut 1,Person,5.71296296296296,1.08559752206969,4.56730769230769,1.77230267132203,540.7825239068356,13.519432090071295,8.769131360781888,5.055019410447278
30,Astronaut 2,Person,5.13725490196078,1.15217586396799,3.67326732673267,1.59442096631404,346.35917029296667,10.187971324283662,7.55111773716523,3.554477196183913
